Arrangement Type,Unit Price,Quantity,Total Price,Cost,Labor
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,1,$10.00 ,$2.50 ,$1.00 
Boutonniere,$10.00 ,2,$20.00 ,$5.00 ,$2.00 
Boutonniere,$10.00 ,2,$20.00 ,$5.00 ,$2.00 
Small Arrangement,$25.00 ,1,$25.00 ,$6.25 ,$2.50 
Small Arrangement,$25.00 ,1,$25.00 ,$6.25 ,$2.50 
Small Arrangement,$25.00 ,1,$25.00 ,$6.25 ,$2.50 
Small Arrangement,$25.00 ,1,$25.00 ,$6.25 ,$2.50 
Small Arrangement,$25.00 ,1,$25.00 ,$6.25 ,$2.50 
Small Arrangement,$25.00 ,1,$25.00 ,$6.25 ,$2.50 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Bridesmaid Hair Pins,$15.00 ,2,$30.00 ,$7.50 ,$3.00 
Boutonniere,$30.00 ,1,$30.00 ,$7.50 ,$3.00 
Boutonniere,$30.00 ,1,$30.00 ,$7.50 ,$3.00 
Bud Vase,$20.00 ,2,$40.00 ,$10.00 ,$4.00 
Bud Vase,$20.00 ,2,$40.00 ,$10.00 ,$4.00 
Bud Vase,$20.00 ,2,$40.00 ,$10.00 ,$4.00 
Bud Vase,$20.00 ,2,$40.00 ,$10.00 ,$4.00 
Bud Vase,$20.00 ,2,$40.00 ,$10.00 ,$4.00 
Bud Vase,$20.00 ,2,$40.00 ,$10.00 ,$4.00 
Corsage,$40.00 ,1,$40.00 ,$10.00 ,$4.00 
Corsage,$40.00 ,1,$40.00 ,$10.00 ,$4.00 
Corsage,$40.00 ,1,$40.00 ,$10.00 ,$4.00 
Corsage,$40.00 ,1,$40.00 ,$10.00 ,$4.00 
Corsage,$40.00 ,1,$40.00 ,$10.00 ,$4.00 
Corsage,$40.00 ,1,$40.00 ,$10.00 ,$4.00 
Boutonniere,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Boutonniere,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Bridesmaid Hair Pins,$15.00 ,3,$45.00 ,$11.25 ,$4.50 
Corsage,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Corsage,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$25.00 ,2,$50.00 ,$12.50 ,$5.00 
Bridesmaid Bouquet,$50.00 ,1,$50.00 ,$12.50 ,$5.00 
Bridesmaid Bouquet,$50.00 ,1,$50.00 ,$12.50 ,$5.00 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Small Arrangement,$55.00 ,1,$55.00 ,$13.75 ,$5.50 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$10.00 ,6,$60.00 ,$15.00 ,$9.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Bud Vase,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Boutonniere,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Bud Vase,$20.00 ,3,$60.00 ,$15.00 ,$6.00 
Bridesmaid Bouquet,$60.00 ,1,$60.00 ,$15.00 ,$6.00 
Bridesmaid Bouquet,$60.00 ,1,$60.00 ,$15.00 ,$6.00 
Corsage,$35.00 ,2,$70.00 ,$17.50 ,$7.00 
Corsage,$35.00 ,2,$70.00 ,$17.50 ,$7.00 
Corsage,$35.00 ,2,$70.00 ,$17.50 ,$7.00 
Corsage,$35.00 ,2,$70.00 ,$17.50 ,$7.00 
Corsage,$35.00 ,2,$70.00 ,$17.50 ,$7.00 
Corsage,$35.00 ,2,$70.00 ,$17.50 ,$7.00 
Bridesmaid Bouquet,$70.00 ,1,$70.00 ,$17.50 ,$7.00 
Bridesmaid Bouquet,$70.00 ,1,$70.00 ,$17.50 ,$7.00 
Corsage,$25.00 ,3,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$25.00 ,3,$75.00 ,$18.75 ,$7.50 
Corsage,$25.00 ,3,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$25.00 ,3,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Small Arrangement,$75.00 ,1,$75.00 ,$18.75 ,$7.50 
Boutonniere,$20.00 ,4,$80.00 ,$20.00 ,$8.00 
Boutonniere,$20.00 ,4,$80.00 ,$20.00 ,$8.00 
Bridesmaid Bouquet,$80.00 ,1,$80.00 ,$20.00 ,$8.00 
Bridesmaid Bouquet,$80.00 ,1,$80.00 ,$20.00 ,$8.00 
Corsage,$30.00 ,3,$90.00 ,$22.50 ,$9.00 
Corsage,$30.00 ,3,$90.00 ,$22.50 ,$9.00 
Corsage,$30.00 ,3,$90.00 ,$22.50 ,$9.00 
Corsage,$30.00 ,3,$90.00 ,$22.50 ,$9.00 
Corsage,$30.00 ,3,$90.00 ,$22.50 ,$9.00 
Corsage,$30.00 ,3,$90.00 ,$22.50 ,$9.00 
Bridesmaid Bouquet,$90.00 ,1,$90.00 ,$22.50 ,$9.00 
Bridesmaid Bouquet,$90.00 ,1,$90.00 ,$22.50 ,$9.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Boutonniere,$10.00 ,10,$100.00 ,$25.00 ,$20.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Corsage,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Corsage,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Corsage,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Bud Vase,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Corsage,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Corsage,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Corsage,$20.00 ,5,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Small Arrangement,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Boutonniere,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Corsage,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Small Arrangement,$25.00 ,4,$100.00 ,$25.00 ,$10.00 
Bridesmaid Bouquet,$50.00 ,2,$100.00 ,$25.00 ,$10.00 
Bridesmaid Bouquet,$50.00 ,2,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridesmaid Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridal Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Bridesmaid Bouquet,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Cake Meadow,$100.00 ,1,$100.00 ,$25.00 ,$10.00 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Boutonniere,$15.00 ,7,$105.00 ,$26.25 ,$15.75 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Small Arrangement,$55.00 ,2,$110.00 ,$27.50 ,$11.00 
Bridesmaid Bouquet,$110.00 ,1,$110.00 ,$27.50 ,$11.00 
Bridesmaid Bouquet,$110.00 ,1,$110.00 ,$27.50 ,$11.00 
Bridesmaid Hair Pins,$15.00 ,8,$120.00 ,$30.00 ,$18.00 
Bridesmaid Hair Pins,$15.00 ,8,$120.00 ,$30.00 ,$18.00 
