flower_type,price_per_stem
amaranth,1.19
anthirium,6.9
butterfly ranunc,1.99
calla lilly,2.9
carnation mini,0.79
carnations,0.72
chamomile,1.29
cornflower,1.09
cosmos,1.59
dahlias,2.99
dahlias,4.38
dahlias,5.98
delphinium,1.59
dendrodium orchid,2.19
didisus (looks like scabies),1.29
disbud,0.79
explosion grass,1.19
foxglove,1.59
garden roses,3.33
gerber,1.99
hydrangeas,6.9
hydrangeas,2.99
hypericum (berries),1.29
italian ruscus,1.09
ivy,0.99
jasmine,1.09
larkspur,1.39
lily oriental,2.99
lisianthus (dutch),2.08
lisianthus regular,1.69
marigold,1.09
mums,0.99
myrtle,0.99
oncidium,2.99
orlaya,1.29
peony,5.9
pericallis,1.29
poms,0.59
queen anne lace,1.19
ranunc,1.99
ranunc,2.19
roses,1.18
salal,0.89
sedum,1.19
snapdragons,1.39
solidalgo,0.99
spray rose,1.19
statice,1.19
stock,1.19
sweet peas,1.99
tulips,1.59
tweedia,1.49
yarrow,1.09
zinnia,1.19
